customer_id,age,gender,income,region,last_order_date,days_since_last_order,churn,frequency,monetary
CUST_00001,34,M,41917,East,2024-12-27,-87,0,33,27109.71
CUST_00002,44,M,51747,East,2024-12-24,-84,0,31,19969.64
CUST_00003,61,Other,44411,North,2024-12-25,-85,0,35,33055.63
CUST_00004,24,Other,77477,South,2024-12-26,-86,0,35,26349.95
CUST_00005,24,Other,19845,South,2024-12-30,-90,0,42,30213.38
CUST_00006,33,F,97585,West,2024-12-07,-67,0,30,22465.38
CUST_00007,33,Other,33064,Central,2024-12-28,-88,0,35,26733.23
CUST_00008,65,Other,113101,East,2024-12-14,-74,0,33,24199.64
CUST_00009,68,M,47635,North,2024-12-23,-83,0,38,20963.73
CUST_00010,38,F,89574,East,2024-12-06,-66,0,27,18283.99
CUST_00011,36,M,50094,Central,2024-12-25,-85,0,33,24629.63
CUST_00012,70,F,63695,South,2024-12-20,-80,0,29,20545.94
CUST_00013,26,F,52324,West,2024-11-23,-53,0,27,21828.62
CUST_00014,43,F,50237,South,2024-12-25,-85,0,39,30330.22
CUST_00015,58,M,59643,South,2024-12-22,-82,0,43,32022.37
CUST_00016,65,Other,64431,Central,2024-12-25,-85,0,35,29912.85
CUST_00017,47,Other,58109,Central,2024-12-04,-64,0,39,32005.15
CUST_00018,65,Other,56063,West,2024-12-19,-79,0,29,24226.49
CUST_00019,59,M,40569,South,2024-12-12,-72,0,42,33421.62
CUST_00020,48,F,53054,North,2024-11-16,-46,0,33,31935.64
CUST_00021,30,M,86467,South,2024-12-28,-88,0,42,34900.12
CUST_00022,72,M,39739,West,2024-12-17,-77,0,34,24248.62
CUST_00023,18,M,60223,West,2024-12-20,-80,0,34,26802.03
CUST_00024,68,Other,78823,West,2024-12-28,-88,0,46,35450.25
CUST_00025,24,F,64603,Central,2024-12-01,-61,0,31,23945.95
CUST_00026,57,Other,73549,North,2024-12-25,-85,0,23,14131.42
CUST_00027,63,Other,32791,East,2024-11-21,-51,0,29,25874.559999999998
CUST_00028,36,F,60274,North,2024-12-04,-64,0,33,28769.53
CUST_00029,53,F,49157,South,2024-12-09,-69,0,41,32990.23
CUST_00030,60,M,49960,East,2024-12-19,-79,0,33,22264.02
CUST_00031,36,M,84430,Central,2024-12-04,-64,0,35,26431.88
CUST_00032,65,Other,50263,East,2024-12-24,-84,0,41,35744.26
CUST_00033,57,Other,60920,Central,2024-12-28,-88,0,33,20640.42
CUST_00034,21,M,19866,East,2024-12-25,-85,0,35,23820.149999999998
CUST_00035,27,Other,89547,Central,2024-11-29,-59,0,48,39873.8
CUST_00036,37,Other,72277,East,2024-12-11,-71,0,38,29281.03
CUST_00037,60,M,53774,North,2024-12-20,-80,0,25,21700.44
CUST_00038,28,F,48311,South,2024-12-17,-77,0,42,30526.1
CUST_00039,63,M,66653,Central,2024-11-29,-59,0,33,23273.33
CUST_00040,66,M,78548,West,2024-12-04,-64,0,38,26721.84
CUST_00041,44,Other,89879,South,2024-12-28,-88,0,32,28238.89
CUST_00042,45,Other,71560,West,2024-11-30,-60,0,35,24228.61
CUST_00043,49,M,56331,East,2024-12-15,-75,0,45,34235.46
CUST_00044,22,Other,74792,West,2024-11-27,-57,0,36,26403.28
CUST_00045,20,Other,70647,South,2024-12-30,-90,0,34,31405.010000000002
CUST_00046,46,F,56408,West,2024-11-22,-52,0,44,37087.76
CUST_00047,72,Other,70017,East,2024-12-21,-81,0,37,26881.52
CUST_00048,53,Other,69615,West,2024-12-29,-89,0,32,25307.44
CUST_00049,47,M,53661,South,2024-11-16,-46,0,34,30650.73
CUST_00050,72,F,44634,North,2024-12-06,-66,0,37,32439.7
CUST_00051,41,Other,67751,South,2024-12-28,-88,0,37,31478.55
CUST_00052,74,M,34726,North,2024-12-27,-87,0,34,21455.52
CUST_00053,23,Other,30669,North,2024-12-24,-84,0,31,20679.09
CUST_00054,20,M,61240,North,2024-12-15,-75,0,40,24464.37
CUST_00055,25,M,67175,Central,2024-12-15,-75,0,34,23780.68
CUST_00056,45,F,61087,West,2024-12-13,-73,0,27,21812.43
CUST_00057,59,Other,63278,South,2024-12-24,-84,0,39,33832.57
CUST_00058,47,Other,15000,Central,2024-12-23,-83,0,37,29175.93
CUST_00059,25,M,66818,West,2024-12-08,-68,0,40,35610.09
CUST_00060,62,M,84519,North,2024-11-18,-48,0,33,24273.92
CUST_00061,45,Other,71932,West,2024-12-17,-77,0,38,32113.88
CUST_00062,70,F,71275,West,2024-12-21,-81,0,38,31153.81
CUST_00063,59,Other,59658,North,2024-12-25,-85,0,27,24432.8
CUST_00064,64,Other,60407,North,2024-12-26,-86,0,40,31824.79
CUST_00065,63,F,52049,East,2024-12-28,-88,0,38,30778.62
CUST_00066,35,M,62668,South,2024-12-24,-84,0,25,17189.12
CUST_00067,22,Other,33829,West,2024-12-30,-90,0,31,25765.579999999998
CUST_00068,60,F,84629,South,2024-12-08,-68,0,38,28763.49
CUST_00069,28,F,38555,South,2024-12-29,-89,0,36,35325.45
CUST_00070,38,F,71888,Central,2024-12-08,-68,0,34,24211.05
CUST_00071,25,M,81579,Central,2024-12-28,-88,0,34,23541.829999999998
CUST_00072,18,M,71836,South,2024-12-30,-90,0,32,25220.33
CUST_00073,42,F,101553,West,2024-12-25,-85,0,30,24940.43
CUST_00074,68,M,15000,West,2024-12-28,-88,0,43,34659.74
CUST_00075,45,M,45846,West,2024-12-21,-81,0,32,22772.36
CUST_00076,49,F,81191,East,2024-12-19,-79,0,31,26130.43
CUST_00077,59,F,29967,West,2024-12-22,-82,0,35,28739.55
CUST_00078,73,Other,39117,Central,2024-12-25,-85,0,33,21244.94
CUST_00079,18,Other,65484,West,2024-12-01,-61,0,37,34313.72
CUST_00080,60,M,26745,East,2024-12-14,-74,0,35,27964.85
CUST_00081,40,M,56087,Central,2024-12-19,-79,0,29,18652.19
CUST_00082,57,Other,64188,North,2024-12-24,-84,0,28,23301.670000000002
CUST_00083,20,F,57765,North,2024-12-30,-90,0,29,20455.16
CUST_00084,53,Other,59584,West,2024-12-19,-79,0,36,27723.75
CUST_00085,67,Other,40907,South,2024-12-14,-74,0,40,32823.51
CUST_00086,43,Other,58936,North,2024-12-29,-89,0,40,32600.61
CUST_00087,64,M,47125,Central,2024-12-12,-72,0,34,24483.34
CUST_00088,34,Other,49683,South,2024-12-14,-74,0,38,29090.13
CUST_00089,18,M,71590,Central,2024-12-28,-88,0,43,33514.36
CUST_00090,64,Other,29071,Central,2024-11-28,-58,0,36,29310.76
