customer_id,age,gender,income,region,signup_date,preferred_category
CUST_00001,34,M,41917,East,2022-11-28,Food & Beverage
CUST_00002,44,M,51747,East,2022-04-04,Beauty
CUST_00003,61,Other,44411,North,2022-08-31,Sports
CUST_00004,24,Other,77477,South,2022-05-30,Sports
CUST_00005,24,Other,19845,South,2022-09-18,Clothing
CUST_00006,33,F,97585,West,2022-07-01,Food & Beverage
CUST_00007,33,Other,33064,Central,2022-04-05,Clothing
CUST_00008,65,Other,113101,East,2022-11-23,Electronics
CUST_00009,68,M,47635,North,2022-01-27,Food & Beverage
CUST_00010,38,F,89574,East,2022-02-28,Electronics
CUST_00011,36,M,50094,Central,2022-05-05,Beauty
CUST_00012,70,F,63695,South,2023-01-04,Beauty
CUST_00013,26,F,52324,West,2022-04-24,Beauty
CUST_00014,43,F,50237,South,2022-02-16,Food & Beverage
CUST_00015,58,M,59643,South,2022-01-23,Beauty
CUST_00016,65,Other,64431,Central,2022-01-22,Food & Beverage
CUST_00017,47,Other,58109,Central,2022-09-30,Home & Garden
CUST_00018,65,Other,56063,West,2022-05-08,Food & Beverage
CUST_00019,59,M,40569,South,2022-12-17,Sports
CUST_00020,48,F,53054,North,2022-01-18,Electronics
CUST_00021,30,M,86467,South,2022-04-10,Beauty
CUST_00022,72,M,39739,West,2022-06-16,Sports
CUST_00023,18,M,60223,West,2022-05-30,Home & Garden
CUST_00024,68,Other,78823,West,2022-02-10,Sports
CUST_00025,24,F,64603,Central,2022-01-21,Electronics
CUST_00026,57,Other,73549,North,2022-02-09,Beauty
CUST_00027,63,Other,32791,East,2022-12-28,Beauty
CUST_00028,36,F,60274,North,2022-11-17,Food & Beverage
CUST_00029,53,F,49157,South,2022-09-14,Home & Garden
CUST_00030,60,M,49960,East,2022-02-23,Sports
CUST_00031,36,M,84430,Central,2022-07-25,Electronics
CUST_00032,65,Other,50263,East,2022-07-05,Beauty
CUST_00033,57,Other,60920,Central,2022-09-13,Clothing
CUST_00034,21,M,19866,East,2022-02-25,Clothing
CUST_00035,27,Other,89547,Central,2022-06-16,Electronics
CUST_00036,37,Other,72277,East,2022-05-28,Home & Garden
CUST_00037,60,M,53774,North,2022-05-11,Food & Beverage
CUST_00038,28,F,48311,South,2022-10-02,Electronics
CUST_00039,63,M,66653,Central,2023-01-15,Electronics
CUST_00040,66,M,78548,West,2022-07-12,Electronics
CUST_00041,44,Other,89879,South,2022-08-03,Clothing
CUST_00042,45,Other,71560,West,2022-09-19,Sports
CUST_00043,49,M,56331,East,2022-08-02,Sports
CUST_00044,22,Other,74792,West,2022-04-26,Clothing
CUST_00045,20,Other,70647,South,2022-03-22,Beauty
CUST_00046,46,F,56408,West,2022-12-11,Beauty
CUST_00047,72,Other,70017,East,2022-09-03,Home & Garden
CUST_00048,53,Other,69615,West,2022-10-18,Electronics
CUST_00049,47,M,53661,South,2023-01-10,Electronics
CUST_00050,72,F,44634,North,2023-01-19,Sports
CUST_00051,41,Other,67751,South,2022-08-26,Sports
CUST_00052,74,M,34726,North,2022-11-15,Electronics
CUST_00053,23,Other,30669,North,2022-04-12,Clothing
CUST_00054,20,M,61240,North,2022-02-08,Food & Beverage
CUST_00055,25,M,67175,Central,2022-08-14,Clothing
CUST_00056,45,F,61087,West,2022-07-06,Clothing
CUST_00057,59,Other,63278,South,2022-11-02,Beauty
CUST_00058,47,Other,15000,Central,2022-07-16,Home & Garden
CUST_00059,25,M,66818,West,2023-01-08,Home & Garden
CUST_00060,62,M,84519,North,2022-02-16,Electronics
CUST_00061,45,Other,71932,West,2022-09-21,Food & Beverage
CUST_00062,70,F,71275,West,2022-11-06,Home & Garden
CUST_00063,59,Other,59658,North,2022-05-14,Beauty
CUST_00064,64,Other,60407,North,2022-11-02,Electronics
CUST_00065,63,F,52049,East,2022-05-26,Electronics
CUST_00066,35,M,62668,South,2022-03-05,Clothing
CUST_00067,22,Other,33829,West,2023-01-10,Clothing
CUST_00068,60,F,84629,South,2022-06-03,Food & Beverage
CUST_00069,28,F,38555,South,2022-08-10,Electronics
CUST_00070,38,F,71888,Central,2022-11-09,Electronics
CUST_00071,25,M,81579,Central,2022-05-31,Electronics
CUST_00072,18,M,71836,South,2022-10-15,Clothing
CUST_00073,42,F,101553,West,2022-02-17,Home & Garden
CUST_00074,68,M,15000,West,2022-09-12,Electronics
CUST_00075,45,M,45846,West,2022-08-24,Electronics
CUST_00076,49,F,81191,East,2022-01-05,Home & Garden
CUST_00077,59,F,29967,West,2022-11-27,Beauty
CUST_00078,73,Other,39117,Central,2022-07-03,Beauty
CUST_00079,18,Other,65484,West,2022-05-01,Clothing
CUST_00080,60,M,26745,East,2022-11-09,Clothing
CUST_00081,40,M,56087,Central,2023-02-03,Beauty
CUST_00082,57,Other,64188,North,2022-04-24,Beauty
CUST_00083,20,F,57765,North,2022-02-12,Electronics
CUST_00084,53,Other,59584,West,2022-02-06,Sports
CUST_00085,67,Other,40907,South,2022-01-12,Electronics
CUST_00086,43,Other,58936,North,2022-02-27,Clothing
CUST_00087,64,M,47125,Central,2022-03-21,Electronics
CUST_00088,34,Other,49683,South,2022-09-20,Home & Garden
CUST_00089,18,M,71590,Central,2022-01-03,Clothing
CUST_00090,64,Other,29071,Central,2022-08-31,Electronics
CUST_00091,72,Other,15000,North,2022-04-06,Home & Garden
CUST_00092,31,Other,69989,Central,2022-01-23,Sports
CUST_00093,73,Other,58956,East,2023-01-07,Food & Beverage
CUST_00094,66,M,81554,East,2022-10-07,Clothing
CUST_00095,43,F,39611,West,2022-01-17,Clothing
CUST_00096,24,Other,53038,East,2022-02-19,Home & Garden
CUST_00097,48,F,56843,North,2022-10-26,Electronics
CUST_00098,22,F,43112,Central,2022-12-07,Sports
CUST_00099,64,M,37237,North,2022-10-21,Sports
CUST_00100,18,M,71072,Central,2022-04-19,Food & Beverage
CUST_00101,47,M,27356,East,2023-01-28,Electronics
CUST_00102,47,M,34189,East,2022-01-22,Food & Beverage
CUST_00103,18,M,52378,West,2022-01-17,Sports
CUST_00104,44,Other,73566,East,2022-10-11,Sports
CUST_00105,39,Other,44322,Central,2022-02-06,Electronics
CUST_00106,39,Other,41914,Central,2023-01-28,Food & Beverage
CUST_00107,48,Other,51215,North,2022-11-10,Clothing
CUST_00108,67,F,62238,North,2022-08-17,Electronics
CUST_00109,32,Other,48144,Central,2023-01-14,Clothing
CUST_00110,41,F,76344,East,2022-08-20,Sports
CUST_00111,32,M,77292,East,2022-09-17,Clothing
CUST_00112,27,Other,52377,East,2022-03-01,Sports
CUST_00113,57,F,94020,East,2022-06-11,Electronics
CUST_00114,25,M,56388,West,2022-02-17,Food & Beverage
CUST_00115,72,M,76525,North,2022-04-22,Food & Beverage
CUST_00116,53,M,61661,East,2022-06-21,Clothing
CUST_00117,40,Other,61278,West,2022-09-11,Sports
CUST_00118,26,Other,23209,West,2022-06-13,Sports
CUST_00119,72,M,32652,North,2022-08-24,Electronics
CUST_00120,70,Other,49136,South,2022-01-15,Sports
CUST_00121,45,M,77120,East,2022-07-09,Sports
CUST_00122,23,Other,61954,South,2022-08-17,Home & Garden
CUST_00123,51,M,49313,North,2022-10-08,Food & Beverage
CUST_00124,51,F,67383,North,2022-09-18,Food & Beverage
CUST_00125,32,M,76277,South,2022-11-11,Beauty
CUST_00126,29,M,55127,East,2022-06-22,Sports
CUST_00127,48,F,59462,Central,2022-05-25,Beauty
CUST_00128,64,M,56830,South,2022-10-22,Clothing
CUST_00129,25,M,53864,West,2023-01-04,Electronics
CUST_00130,59,M,39410,East,2022-07-28,Home & Garden
CUST_00131,32,Other,37969,South,2022-05-06,Food & Beverage
CUST_00132,39,M,67250,North,2022-07-17,Home & Garden
CUST_00133,21,M,76706,West,2022-01-29,Clothing
CUST_00134,64,M,49275,West,2022-01-23,Food & Beverage
CUST_00135,50,F,48827,South,2022-05-14,Clothing
CUST_00136,59,M,18372,South,2022-05-06,Home & Garden
CUST_00137,69,F,15184,East,2022-01-06,Electronics
CUST_00138,58,F,82277,East,2022-12-09,Beauty
CUST_00139,58,Other,40610,West,2022-03-03,Beauty
CUST_00140,56,Other,15000,East,2022-02-17,Electronics
CUST_00141,46,M,103408,East,2023-01-19,Clothing
CUST_00142,43,Other,43809,East,2022-11-05,Electronics
CUST_00143,61,M,23781,Central,2022-10-03,Home & Garden
CUST_00144,60,F,56990,East,2022-06-05,Home & Garden
CUST_00145,37,Other,70816,Central,2022-01-05,Electronics
CUST_00146,61,F,68367,Central,2022-07-30,Clothing
CUST_00147,58,F,72956,North,2022-03-08,Beauty
CUST_00148,70,F,35597,North,2023-01-31,Sports
CUST_00149,29,Other,81716,South,2022-12-02,Food & Beverage
CUST_00150,55,F,83076,North,2022-02-26,Beauty
CUST_00151,66,F,84101,Central,2022-06-07,Food & Beverage
CUST_00152,65,Other,60165,North,2022-10-30,Beauty
CUST_00153,45,F,47765,Central,2022-07-07,Food & Beverage
CUST_00154,35,Other,46029,West,2022-03-14,Food & Beverage
CUST_00155,71,F,23685,East,2022-01-18,Sports
CUST_00156,28,M,44225,South,2022-04-27,Home & Garden
CUST_00157,74,Other,15000,West,2022-08-23,Beauty
CUST_00158,18,Other,21271,South,2022-02-03,Sports
CUST_00159,65,Other,59953,East,2022-12-04,Home & Garden
CUST_00160,49,Other,49932,North,2022-09-17,Food & Beverage
CUST_00161,63,F,59068,South,2022-11-02,Home & Garden
CUST_00162,59,Other,69137,Central,2022-05-27,Beauty
CUST_00163,68,F,62701,West,2022-05-16,Home & Garden
CUST_00164,36,F,60928,South,2022-07-13,Sports
CUST_00165,57,F,53258,South,2022-12-07,Beauty
CUST_00166,42,M,39929,East,2022-12-30,Sports
CUST_00167,24,Other,30111,Central,2022-12-07,Food & Beverage
CUST_00168,51,M,44725,South,2022-07-19,Beauty
CUST_00169,47,F,53586,South,2022-02-11,Clothing
CUST_00170,74,M,56023,North,2023-01-02,Electronics
CUST_00171,40,M,73004,West,2022-03-13,Sports
CUST_00172,36,M,51807,West,2022-03-18,Home & Garden
CUST_00173,52,Other,65969,Central,2023-01-06,Clothing
CUST_00174,41,Other,26037,West,2022-05-04,Home & Garden
CUST_00175,50,F,60241,South,2022-01-03,Clothing
CUST_00176,27,Other,58797,North,2022-10-09,Electronics
CUST_00177,58,F,81724,South,2023-01-28,Clothing
CUST_00178,68,Other,49950,Central,2022-07-11,Home & Garden
CUST_00179,55,M,15000,Central,2022-12-28,Clothing
CUST_00180,34,M,49124,West,2023-01-21,Clothing
CUST_00181,44,F,69288,Central,2022-12-13,Sports
CUST_00182,46,Other,31468,East,2022-10-20,Home & Garden
CUST_00183,55,Other,59709,Central,2022-08-10,Home & Garden
CUST_00184,41,Other,30553,West,2023-01-23,Clothing
CUST_00185,26,Other,91426,West,2022-04-26,Home & Garden
CUST_00186,73,F,46522,South,2022-10-27,Beauty
CUST_00187,18,F,29379,Central,2022-02-19,Home & Garden
CUST_00188,46,Other,44588,South,2022-11-07,Food & Beverage
CUST_00189,67,F,59833,North,2023-01-30,Beauty
CUST_00190,36,F,65308,South,2023-01-27,Food & Beverage
CUST_00191,22,F,80489,East,2022-11-14,Sports
CUST_00192,30,M,42268,South,2022-08-11,Clothing
CUST_00193,33,M,70259,West,2023-01-05,Beauty
