customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,cluster,segment,segment_description
CUST_00001,4,6,7567.46,5,1,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00002,87,5,3513.16,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00003,10,8,7008.68,5,2,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00004,16,7,7226.77,4,1,3,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00005,1,14,9962.32,5,5,4,14,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00006,122,8,4905.39,1,2,1,4,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00007,21,10,10440.24,4,3,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00008,59,9,5095.44,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00009,84,5,3395.65,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00010,41,9,6280.59,3,2,2,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00011,53,7,5231.0599999999995,2,1,2,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00012,20,10,7706.4,4,3,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00013,212,10,7955.549999999999,1,3,3,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00014,6,6,3901.37,5,1,1,7,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00015,29,13,10645.05,3,4,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00016,36,9,9177.73,3,2,4,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00017,27,11,8865.27,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00018,12,15,12901.42,4,5,5,14,4,Champions,"Bought recently, buy often, spend the most. Reward them."
